ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
JISTOLJ,5,TILJSO;TLJJSO;TILJJS;ILJJSO;TILJJO,J;I;O;T;S,v115@9gA8RpilR4C8Rpglg0R4D8g0zhE8l0C8JeAgWGAKen?tCvCBAA;v115@9gA8ilRph0C8glR4Rpg0D8R4i0E8zhh0C8JeAgWGAp?vjPCvCBAA;v115@9gA8ilzhC8glRpg0R4D8g0RpR4E8l0C8JeAgWGAK9a?PCpCBAA;v115@9gA8hli0R4C8h0RpR4D8g0glRpg0E8g0glzhC8JeAg?WGAJnntCs/AAA;v115@9gA8RpQ4hlh0C8RpR4glg0D8g0zhE8i0Q4glg0C8Je?AgWGAKentCMHBAA
JTLIJZS,8,TILJJZ;ILJJSZ;TIJJSZ;TILJJS;TLJJSZ;TILJSZ,S;T;L;Z;I;J,v115@9gA8Bti0R4C8h0zhD8g0Btglg0E8g0ilR4C8JeAgWG?AsPNFDKNBAA;v115@9gA8h0whg0AtR4C8hlwhi0D8g0glwhBtE8g0glwhAt?R4C8JeAgWGApiPFDKNBAA;v115@9gA8whi0AtR4C8whhli0D8whg0glBtE8whg0glAtR4?C8JeAgWGAMePFDKNBAA;v115@9gA8BtilR4C8h0glywD8j0wwE8g0Btg0R4C8JeAgWG?Aq/VWCzXBAA;v115@9gA8ilBtR4C8gli0BtD8g0zhE8j0R4C8JeAgWGAKeP?FDMNBAA;v115@9gA8h0BtwwR4C8h0glywD8h0glBtE8h0hlR4C8JeAg?WGAs/lPCaNBAA;v115@9gA8Btglh0R4C8ilywD8g0Btg0wwE8j0R4C8JeAgWG?AqOUPCaNBAA;v115@9gA8j0AtR4C8ili0D8glwwg0BtE8ywAtR4C8JeAgWG?A0/TFDKNBAA
JOZITSL,9,TILJSO;TIJSZO,Z;L,v115@9gA8whg0ywR4C8whi0R4D8whRpBtE8whRpwwBtC8Je?AgWGAaXltCqOBAA;v115@9gA8zhywC8i0R4wwD8Rpg0BtE8RpR4BtC8JeAgWGAa?nntCU+AAA;v115@9gA8zhywC8i0BtwwD8Rpg0R4E8RpR4BtC8JeAgWGAT?nPFDU+AAA;v115@9gA8whRpBtR4C8whRpwwR4D8whg0ywE8whi0BtC8Je?AgWGAqeltCvXBAA;v115@9gA8whRpBtR4C8whRpwwBtD8whg0ywE8whi0R4C8Je?AgWGAqeNFDPNBAA;v115@9gA8BtR4ywC8h0zhD8g0BtRpE8g0R4RpwwC8JeAgWG?AvPNFDzOBAA;v115@9gA8zhywC8h0BtR4D8g0RpBtE8g0RpR4wwC8JeAgWG?Av3ntCU+AAA;v115@9gA8ywRpR4C8h0zhD8g0BtRpE8g0wwBtR4C8JeAgWG?A6PFgCzOBAA;v115@9gA8zhywC8RpBtR4D8i0BtE8Rpg0R4wwC8JeAgWGAq?HcgCU+AAA
JISOTLJ,8,TILJSO;TLJJSO;TILJJS;ILJJSO;TILJJO,J;I;O;T;S,v115@9gA8RpilR4C8Rpglg0R4D8g0zhE8l0C8JeAgWGAKen?tCvCBAA;v115@9gA8ilRph0C8glR4Rpg0D8R4i0E8zhh0C8JeAgWGAp?vjPCvCBAA;v115@9gA8ilzhC8glRpg0R4D8g0RpR4E8l0C8JeAgWGAK9a?PCpCBAA;v115@9gA8Q4hlzhC8R4gli0D8g0Q4glRpE8i0Rpg0C8JeAg?WGAvvTWCK+AAA;v115@9gA8hli0R4C8h0RpR4D8g0glRpg0E8g0glzhC8JeAg?WGAJnntCs/AAA;v115@9gA8RpQ4hlh0C8RpR4glg0D8g0zhE8i0Q4glg0C8Je?AgWGAKentCMHBAA;v115@9gA8RpR4ilC8RpzhD8g0R4g0glE8l0C8JeAgWGAqPF?gCzCBAA;v115@9gA8whi0glR4C8whi0R4D8whRpg0glE8whRpg0hlC8?JeAgWGAPujPCs/AAA
JOZITLS,4,TILJSO;TIJSZO;TILJSZ,Z;L;O,v115@9gA8zhywC8i0R4wwD8Rpg0BtE8RpR4BtC8JeAgWGAa?nntCU+AAA;v115@9gA8whRpBtR4C8whRpwwBtD8whg0ywE8whi0R4C8Je?AgWGAqeNFDPNBAA;v115@9gA8BtR4ywC8h0zhD8g0BtRpE8g0R4RpwwC8JeAgWG?AvPNFDzOBAA;v115@9gA8ywRpR4C8h0zhD8g0BtRpE8g0wwBtR4C8JeAgWG?A6PFgCzOBAA
JIOSTLJ,9,TILJSO;TLJJSO;TILJJS;ILJJSO;TILJJO;TIJJSO,J;I;O;T;S;L,v115@9gA8RpilR4C8Rpglg0R4D8g0zhE8l0C8JeAgWGAKen?tCvCBAA;v115@9gA8ilRph0C8glR4Rpg0D8R4i0E8zhh0C8JeAgWGAp?vjPCvCBAA;v115@9gA8ilzhC8glRpg0R4D8g0RpR4E8l0C8JeAgWGAK9a?PCpCBAA;v115@9gA8ilzhC8glR4i0D8i0RpE8R4g0Rpg0C8JeAgWGAv?vjPCpCBAA;v115@9gA8Q4hlzhC8R4gli0D8g0Q4glRpE8i0Rpg0C8JeAg?WGAvvTWCK+AAA;v115@9gA8hli0R4C8h0RpR4D8g0glRpg0E8g0glzhC8JeAg?WGAJnntCs/AAA;v115@9gA8RpQ4hlh0C8RpR4glg0D8g0zhE8i0Q4glg0C8Je?AgWGAKentCMHBAA;v115@9gA8RpR4ilC8RpzhD8g0R4g0glE8l0C8JeAgWGAqPF?gCzCBAA;v115@9gA8whi0glR4C8whi0R4D8whRpg0glE8whRpg0hlC8?JeAgWGAPujPCs/AAA
JTLIJSZ,5,TILJJZ;ILJJSZ;TIJJSZ;TILJJS;TLJJSZ,S;T;L;Z;I,v115@9gA8h0ywR4C8h0glwwR4D8h0glBtE8h0hlBtC8JeAg?WGA6intCqOBAA;v115@9gA8k0R4C8Bth0R4D8ilg0wwE8glBtywC8JeAgWGA0?yjPC6/AAA;v115@9gA8ilBtR4C8gli0R4D8g0zhE8j0BtC8JeAgWGAKen?tCsXBAA;v115@9gA8BtilR4C8h0glywD8j0wwE8g0Btg0R4C8JeAgWG?Aq/VWCzXBAA;v115@9gA8Btglh0R4C8ilg0R4D8g0Btg0wwE8i0ywC8JeAg?WGA0vjPCsXBAA
JOISTLJ,10,TILJSO;TLJJSO;TILJJS;ILJJSO;TIJJSO;TILJJO,J;I;O;T;L;S,v115@9gA8RpilR4C8Rpglg0R4D8g0zhE8l0C8JeAgWGAKen?tCvCBAA;v115@9gA8ilRph0C8glR4Rpg0D8R4i0E8zhh0C8JeAgWGAp?vjPCvCBAA;v115@9gA8ilzhC8glRpg0R4D8g0RpR4E8l0C8JeAgWGAK9a?PCpCBAA;v115@9gA8g0zhR4C8j0R4D8RpilE8Rpgli0C8JeAgWGAvin?tCK+AAA;v115@9gA8ilzhC8glR4i0D8i0RpE8R4g0Rpg0C8JeAgWGAv?vjPCpCBAA;v115@9gA8Q4hlzhC8R4gli0D8g0Q4glRpE8i0Rpg0C8JeAg?WGAvvTWCK+AAA;v115@9gA8hli0R4C8h0RpR4D8g0glRpg0E8g0glzhC8JeAg?WGAJnntCs/AAA;v115@9gA8RpQ4hlh0C8RpR4glg0D8g0zhE8i0Q4glg0C8Je?AgWGAKentCMHBAA;v115@9gA8RpR4ilC8RpzhD8g0R4g0glE8l0C8JeAgWGAqPF?gCzCBAA;v115@9gA8whi0glR4C8whi0R4D8whRpg0glE8whRpg0hlC8?JeAgWGAPujPCs/AAA
JOITSLJ,9,TILJSO;TLJJSO;TILJJS;ILJJSO;TILJJO;TIJJSO,J;I;O;T;S;L,v115@9gA8RpilR4C8Rpglg0R4D8g0zhE8l0C8JeAgWGAKen?tCvCBAA;v115@9gA8ilRph0C8glR4Rpg0D8R4i0E8zhh0C8JeAgWGAp?vjPCvCBAA;v115@9gA8g0zhR4C8j0R4D8RpilE8Rpgli0C8JeAgWGAvin?tCK+AAA;v115@9gA8ilzhC8glR4i0D8i0RpE8R4g0Rpg0C8JeAgWGAv?vjPCpCBAA;v115@9gA8Q4hlzhC8R4gli0D8g0Q4glRpE8i0Rpg0C8JeAg?WGAvvTWCK+AAA;v115@9gA8hli0R4C8h0RpR4D8g0glRpg0E8g0glzhC8JeAg?WGAJnntCs/AAA;v115@9gA8RpQ4hlh0C8RpR4glg0D8g0zhE8i0Q4glg0C8Je?AgWGAKentCMHBAA;v115@9gA8RpR4ilC8RpzhD8g0R4g0glE8l0C8JeAgWGAqPF?gCzCBAA;v115@9gA8whi0glR4C8whi0R4D8whRpg0glE8whRpg0hlC8?JeAgWGAPujPCs/AAA
JLTIJSZ,4,TILJJZ;ILJJSZ;TIJJSZ;TILJJS;TLJJSZ;TILJSZ,S;T;L;Z;I;J,v115@9gA8h0ywR4C8h0glwwR4D8h0glBtE8h0hlBtC8JeAg?WGA6intCqOBAA;v115@9gA8k0R4C8Bth0R4D8ilg0wwE8glBtywC8JeAgWGA0?yjPC6/AAA;v115@9gA8ilBtR4C8gli0R4D8g0zhE8j0BtC8JeAgWGAKen?tCsXBAA;v115@9gA8BtilR4C8h0glywD8j0wwE8g0Btg0R4C8JeAgWG?Aq/VWCzXBAA
JIOTSLJ,8,TILJSO;TLJJSO;TILJJS;ILJJSO;TILJJO;TIJJSO,J;I;O;T;S;L,v115@9gA8RpilR4C8Rpglg0R4D8g0zhE8l0C8JeAgWGAKen?tCvCBAA;v115@9gA8ilRph0C8glR4Rpg0D8R4i0E8zhh0C8JeAgWGAp?vjPCvCBAA;v115@9gA8ilzhC8glR4i0D8i0RpE8R4g0Rpg0C8JeAgWGAv?vjPCpCBAA;v115@9gA8Q4hlzhC8R4gli0D8g0Q4glRpE8i0Rpg0C8JeAg?WGAvvTWCK+AAA;v115@9gA8hli0R4C8h0RpR4D8g0glRpg0E8g0glzhC8JeAg?WGAJnntCs/AAA;v115@9gA8RpQ4hlh0C8RpR4glg0D8g0zhE8i0Q4glg0C8Je?AgWGAKentCMHBAA;v115@9gA8RpR4ilC8RpzhD8g0R4g0glE8l0C8JeAgWGAqPF?gCzCBAA;v115@9gA8whi0glR4C8whi0R4D8whRpg0glE8whRpg0hlC8?JeAgWGAPujPCs/AAA
JITOSLJ,6,TILJSO;TILJJS;ILJJSO;TILJJO;TIJJSO,J;O;T;S;L,v115@9gA8RpilR4C8Rpglg0R4D8g0zhE8l0C8JeAgWGAKen?tCvCBAA;v115@9gA8ilRph0C8glR4Rpg0D8R4i0E8zhh0C8JeAgWGAp?vjPCvCBAA;v115@9gA8Q4hlzhC8R4gli0D8g0Q4glRpE8i0Rpg0C8JeAg?WGAvvTWCK+AAA;v115@9gA8hli0R4C8h0RpR4D8g0glRpg0E8g0glzhC8JeAg?WGAJnntCs/AAA;v115@9gA8RpQ4hlh0C8RpR4glg0D8g0zhE8i0Q4glg0C8Je?AgWGAKentCMHBAA;v115@9gA8RpR4ilC8RpzhD8g0R4g0glE8l0C8JeAgWGAqPF?gCzCBAA
JLTIJZS,8,TILJJZ;ILJJSZ;TIJJSZ;TILJJS;TLJJSZ;TILJSZ,S;T;L;Z;I;J,v115@9gA8Bti0R4C8h0zhD8g0Btglg0E8g0ilR4C8JeAgWG?AsPNFDKNBAA;v115@9gA8h0whg0AtR4C8hlwhi0D8g0glwhBtE8g0glwhAt?R4C8JeAgWGApiPFDKNBAA;v115@9gA8whi0AtR4C8whhli0D8whg0glBtE8whg0glAtR4?C8JeAgWGAMePFDKNBAA;v115@9gA8BtilR4C8h0glywD8j0wwE8g0Btg0R4C8JeAgWG?Aq/VWCzXBAA;v115@9gA8ilBtR4C8gli0BtD8g0zhE8j0R4C8JeAgWGAKeP?FDMNBAA;v115@9gA8h0BtwwR4C8h0glywD8h0glBtE8h0hlR4C8JeAg?WGAs/lPCaNBAA;v115@9gA8Btglh0R4C8ilywD8g0Btg0wwE8j0R4C8JeAgWG?AqOUPCaNBAA;v115@9gA8j0AtR4C8ili0D8glwwg0BtE8ywAtR4C8JeAgWG?A0/TFDKNBAA
JITZSLJ,5,TILJJZ;TIJJSZ;ILJJSZ;TILJJS;TILJSZ;TLJJSZ,S;L;T;Z;J;I,v115@9gA8ilh0R4C8glAth0R4D8Bth0wwE8Ath0ywC8JeAg?WGA03ntCqCBAA;v115@9gA8h0ilR4C8h0glAtR4D8h0BtwwE8h0AtywC8JeAg?WGA03ntCqCBAA;v115@9gA8Q4i0ywC8R4ilwwD8g0Q4glBtE8j0BtC8JeAgWG?A6/rtC0/AAA;v115@9gA8h0ilR4C8zhR4D8h0glBtE8j0BtC8JeAgWGA6vL?MCqCBAA;v115@9gA8whi0glR4C8whh0AtR4D8whg0BtglE8whg0Atg0?hlC8JeAgWGA6PltCs/AAA
JITSZLJ,5,TILJJZ;ILJJSZ;TILJJS;TILJSZ;TLJJSZ,S;T;Z;J;I,v115@9gA8ilh0R4C8glAth0R4D8Bth0wwE8Ath0ywC8JeAg?WGA03ntCqCBAA;v115@9gA8h0ilR4C8h0glAtR4D8h0BtwwE8h0AtywC8JeAg?WGA03ntCqCBAA;v115@9gA8Q4i0ywC8R4ilwwD8g0Q4glBtE8j0BtC8JeAgWG?A6/rtC0/AAA;v115@9gA8Q4Bthlh0C8R4Btglg0D8g0Q4ywE8i0wwglg0C8?JeAgWGAq+jPCsXBAA;v115@9gA8Q4Btg0ilC8R4zhD8g0Q4BtglE8l0C8JeAgWGAK?ujFDs/AAA
JITSLZJ,3,TILJJZ;ILJJSZ;TILJJS;TILJSZ;TLJJSZ,S;T;Z;J;I,v115@9gA8Q4Bthlh0C8R4Btglg0D8g0Q4ywE8i0wwglg0C8?JeAgWGAq+jPCsXBAA;v115@9gA8Q4Btg0ywC8R4BtglwwD8g0Q4ilE8l0C8JeAgWG?AqyjFD0/AAA;v115@9gA8Q4Btg0ilC8R4zhD8g0Q4BtglE8l0C8JeAgWGAK?ujFDs/AAA
JLTIZJS,10,TILJJZ;ILJJSZ;TIJJSZ;TILJJS;TLJJSZ;TILJSZ,S;T;L;Z;I;J,v115@9gA8h0Ath0R4C8g0Btg0R4D8g0Atglg0wwE8ilywC8?JeAgWGA0yjPC6/AAA;v115@9gA8k0R4C8Bth0R4D8ilg0wwE8glBtywC8JeAgWGA0?yjPC6/AAA;v115@9gA8g0AtilR4C8BtglywD8Ati0wwE8j0R4C8JeAgWG?AqujWCz/AAA;v115@9gA8Bti0R4C8h0zhD8g0Btglg0E8g0ilR4C8JeAgWG?AsPNFDKNBAA;v115@9gA8h0whg0AtR4C8hlwhi0D8g0glwhBtE8g0glwhAt?R4C8JeAgWGApiPFDKNBAA;v115@9gA8whi0AtR4C8whhli0D8whg0glBtE8whg0glAtR4?C8JeAgWGAMePFDKNBAA;v115@9gA8h0BtwwR4C8i0ywD8ilBtE8gli0R4C8JeAgWGAs?uPFDz/AAA;v115@9gA8Btglh0R4C8ilywD8g0Btg0wwE8j0R4C8JeAgWG?AqOUPCaNBAA;v115@9gA8j0AtR4C8ili0D8glwwg0BtE8ywAtR4C8JeAgWG?A0/TFDKNBAA;v115@9gA8h0glBtR4C8ilwwBtD8h0ywE8j0R4C8JeAgWGAq?ujWCKNBAA
JITSLJZ,6,TILJJZ;ILJJSZ;TIJJSZ;TILJJS;TILJSZ;TLJJSZ,S;T;L;Z;J;I,v115@9gA8h0ilR4C8zhR4D8h0glBtE8j0BtC8JeAgWGA6vL?MCqCBAA;v115@9gA8Q4Bthlh0C8R4Btglg0D8g0Q4ywE8i0wwglg0C8?JeAgWGAq+jPCsXBAA;v115@9gA8ilBtR4C8gli0R4D8g0zhE8j0BtC8JeAgWGAKen?tCsXBAA;v115@9gA8Bti0R4C8zhR4D8ilh0E8glBti0C8JeAgWGAqyL?MCqXBAA;v115@9gA8i0BtR4C8g0ilR4D8g0gli0E8zhBtC8JeAgWGAJ?t/VCqXBAA;v115@9gA8h0glBtR4C8ilwwR4D8h0ywE8j0BtC8JeAgWGAq?+TWCqXBAA
JITLSJZ,3,TILJJZ;ILJJSZ;TIJJSZ;TILJJS;TILJSZ;TLJJSZ,S;T;L;Z;J;I,v115@9gA8ilBtR4C8gli0R4D8g0zhE8j0BtC8JeAgWGAKen?tCsXBAA;v115@9gA8i0BtR4C8g0ilR4D8g0gli0E8zhBtC8JeAgWGAJ?t/VCqXBAA;v115@9gA8h0glBtR4C8ilwwR4D8h0ywE8j0BtC8JeAgWGAq?+TWCqXBAA
JITLSZJ,1,TILJJZ;TILJJS;TILJSZ;TLJJSZ,S;Z;J;I,v115@9gA8Q4Btg0ywC8R4BtglwwD8g0Q4ilE8l0C8JeAgWG?AqyjFD0/AAA
JITLZSJ,1,TILJJZ;TILJJS;TILJSZ;TLJJSZ,S;Z;J;I,v115@9gA8g0AtilR4C8BtglywD8Ati0wwE8j0R4C8JeAgWG?AqujWCz/AAA
JLTZIJS,14,TILJJZ;TIJJSZ;ILJJSZ;TLJJSZ;TILJSZ;TILJJS,S;L;T;I;J;Z,v115@9gA8h0ywR4C8h0glwwR4D8h0glBtE8h0hlBtC8JeAg?WGA6intCqOBAA;v115@9gA8ilh0R4C8glAth0R4D8Bth0wwE8Ath0ywC8JeAg?WGA03ntCqCBAA;v115@9gA8h0ilR4C8h0glAtR4D8h0BtwwE8h0AtywC8JeAg?WGA03ntCqCBAA;v115@9gA8h0Ath0R4C8g0Btg0R4D8g0Atglg0wwE8ilywC8?JeAgWGA0yjPC6/AAA;v115@9gA8k0R4C8Bth0R4D8ilg0wwE8glBtywC8JeAgWGA0?yjPC6/AAA;v115@9gA8g0AtilR4C8BtglywD8Ati0wwE8j0R4C8JeAgWG?AqujWCz/AAA;v115@9gA8zhAth0C8g0R4Btg0D8i0AtglE8R4ilg0C8JeAg?WGAsfLuCK+AAA;v115@9gA8ilh0R4C8glAtg0ywD8Bth0wwE8Ati0R4C8JeAg?WGA6/VWCKNBAA;v115@9gA8h0R4Ath0C8g0R4Btg0D8ywAtglE8g0wwilg0C8?JeAgWGAsuzPCKNBAA;v115@9gA8h0BtwwR4C8i0ywD8ilBtE8gli0R4C8JeAgWGAs?uPFDz/AAA;v115@9gA8Btglh0R4C8ilywD8g0Btg0wwE8j0R4C8JeAgWG?AqOUPCaNBAA;v115@9gA8j0AtR4C8ili0D8glwwg0BtE8ywAtR4C8JeAgWG?A0/TFDKNBAA;v115@9gA8h0glBtR4C8ilwwBtD8h0ywE8j0R4C8JeAgWGAq?ujWCKNBAA;v115@9gA8h0Ath0R4C8g0BtywD8g0Atglg0wwE8ilg0R4C8?JeAgWGAsuzPCKNBAA
JITZLSJ,5,TILJJZ;TIJJSZ;ILJJSZ;TILJJS;TILJSZ;TLJJSZ,S;L;T;Z;J;I,v115@9gA8ilh0R4C8glAth0R4D8Bth0wwE8Ath0ywC8JeAg?WGA03ntCqCBAA;v115@9gA8ilzhC8glAth0R4D8Btg0R4E8Atk0C8JeAgWGAz?3PPCpCBAA;v115@9gA8h0ilR4C8h0glAtR4D8h0BtwwE8h0AtywC8JeAg?WGA03ntCqCBAA;v115@9gA8Q4i0ywC8R4ilwwD8g0Q4glBtE8j0BtC8JeAgWG?A6/rtC0/AAA;v115@9gA8g0AtilR4C8BtglywD8Ati0wwE8j0R4C8JeAgWG?AqujWCz/AAA
JZOITLS,4,TILJSO;TILJSZ;TIJSZO,Z;O;L,v115@9gA8zhywC8i0R4wwD8Rpg0BtE8RpR4BtC8JeAgWGAa?nntCU+AAA;v115@9gA8whRpBtR4C8whRpwwBtD8whg0ywE8whi0R4C8Je?AgWGAqeNFDPNBAA;v115@9gA8BtR4ywC8h0zhD8g0BtRpE8g0R4RpwwC8JeAgWG?AvPNFDzOBAA;v115@9gA8ywRpR4C8h0zhD8g0BtRpE8g0wwBtR4C8JeAgWG?A6PFgCzOBAA
JLZTIJS,12,TILJJZ;TIJJSZ;ILJJSZ;TLJJSZ;TILJSZ;TILJJS,S;L;T;I;J;Z,v115@9gA8h0ywR4C8h0glwwR4D8h0glBtE8h0hlBtC8JeAg?WGA6intCqOBAA;v115@9gA8ilh0R4C8glAth0R4D8Bth0wwE8Ath0ywC8JeAg?WGA03ntCqCBAA;v115@9gA8h0Ath0R4C8g0Btg0R4D8g0Atglg0wwE8ilywC8?JeAgWGA0yjPC6/AAA;v115@9gA8g0AtilR4C8BtglywD8Ati0wwE8j0R4C8JeAgWG?AqujWCz/AAA;v115@9gA8g0R4zhC8i0ilD8i0BtE8R4g0glBtC8JeAgWGA6?/TPCT+AAA;v115@9gA8zhAth0C8g0R4Btg0D8i0AtglE8R4ilg0C8JeAg?WGAsfLuCK+AAA;v115@9gA8ilh0R4C8glAtg0ywD8Bth0wwE8Ati0R4C8JeAg?WGA6/VWCKNBAA;v115@9gA8h0R4Ath0C8g0R4Btg0D8ywAtglE8g0wwilg0C8?JeAgWGAsuzPCKNBAA;v115@9gA8h0BtwwR4C8i0ywD8ilBtE8gli0R4C8JeAgWGAs?uPFDz/AAA;v115@9gA8Btglh0R4C8ilywD8g0Btg0wwE8j0R4C8JeAgWG?AqOUPCaNBAA;v115@9gA8h0glBtR4C8ilwwBtD8h0ywE8j0R4C8JeAgWGAq?ujWCKNBAA;v115@9gA8h0Ath0R4C8g0BtywD8g0Atglg0wwE8ilg0R4C8?JeAgWGAsuzPCKNBAA
JZIOTLS,4,TILJSO;TILJSZ;TIJSZO,Z;O;L,v115@9gA8h0ywR4C8g0RpwwR4D8g0RpBtE8zhBtC8JeAgWG?AauytCqOBAA;v115@9gA8whRpBtR4C8whRpwwBtD8whg0ywE8whi0R4C8Je?AgWGAqeNFDPNBAA;v115@9gA8BtR4ywC8h0zhD8g0BtRpE8g0R4RpwwC8JeAgWG?AvPNFDzOBAA;v115@9gA8ywRpR4C8h0zhD8g0BtRpE8g0wwBtR4C8JeAgWG?A6PFgCzOBAA
JZITOLS,5,TILJSO;TLJSZO;TILJSZ;TILJZO;TIJSZO,Z;I;O;S;L,v115@9gA8h0ywR4C8g0RpwwR4D8g0RpBtE8zhBtC8JeAgWG?AauytCqOBAA;v115@9gA8whRpBtR4C8whRpwwBtD8whg0ywE8whi0R4C8Je?AgWGAqeNFDPNBAA;v115@9gA8BtR4ywC8h0zhD8g0BtRpE8g0R4RpwwC8JeAgWG?AvPNFDzOBAA;v115@9gA8ywRpR4C8h0zhD8g0BtRpE8g0wwBtR4C8JeAgWG?A6PFgCzOBAA;v115@9gA8i0BtR4C8Rpg0wwBtD8RpywE8zhR4C8JeAgWGAp?+aFDKNBAA
JZLTIJS,8,TILJJZ;TIJJSZ;ILJJSZ;TLJJSZ;TILJJS;TILJSZ,S;L;T;I;Z;J,v115@9gA8h0ywR4C8h0glwwR4D8h0glBtE8h0hlBtC8JeAg?WGA6intCqOBAA;v115@9gA8ilh0R4C8glAth0R4D8Bth0wwE8Ath0ywC8JeAg?WGA03ntCqCBAA;v115@9gA8h0R4ywC8g0R4g0glwwD8BtilE8g0Bti0C8JeAg?WGA6iPPCzOBAA;v115@9gA8g0AtilR4C8BtglywD8Ati0wwE8j0R4C8JeAgWG?AqujWCz/AAA;v115@9gA8g0R4zhC8i0ilD8i0BtE8R4g0glBtC8JeAgWGA6?/TPCT+AAA;v115@9gA8ilh0R4C8glAtg0ywD8Bth0wwE8Ati0R4C8JeAg?WGA6/VWCKNBAA;v115@9gA8Btglh0R4C8ilywD8g0Btg0wwE8j0R4C8JeAgWG?AqOUPCaNBAA;v115@9gA8h0glBtR4C8ilwwBtD8h0ywE8j0R4C8JeAgWGAq?ujWCKNBAA
JZITLOS,1,TILJSO;TILSZO;TILJSZ;TILJZO;TIJSZO,Z;J;O;S;L,v115@9gA8whRpBtR4C8whRpwwBtD8whg0ywE8whi0R4C8Je?AgWGAqeNFDPNBAA
JZLTISJ,8,TILJJZ;TIJJSZ;ILJJSZ;TLJJSZ;TILJJS;TILJSZ,S;L;T;I;Z;J,v115@9gA8h0ywR4C8h0glwwR4D8h0glBtE8h0hlBtC8JeAg?WGA6intCqOBAA;v115@9gA8ilh0R4C8glAth0R4D8Bth0wwE8Ath0ywC8JeAg?WGA03ntCqCBAA;v115@9gA8ilzhC8glAth0R4D8Btg0R4E8Atk0C8JeAgWGAz?3PPCpCBAA;v115@9gA8Q4i0ywC8R4ilwwD8g0Q4glBtE8j0BtC8JeAgWG?A6/rtC0/AAA;v115@9gA8h0ywR4C8i0wwR4D8ilBtE8gli0BtC8JeAgWGA6?yjPC0/AAA;v115@9gA8h0R4ywC8g0R4g0glwwD8BtilE8g0Bti0C8JeAg?WGA6iPPCzOBAA;v115@9gA8g0AtilR4C8BtglywD8Ati0wwE8j0R4C8JeAgWG?AqujWCz/AAA;v115@9gA8k0R4C8ywg0R4D8ilBtE8glwwh0BtC8JeAgWGA6?i/wCz/AAA
JZITLSO,2,TILJSO;TILSZO;TILJSZ;TILJZO;TIJSZO,Z;J;O;S;L,v115@9gA8h0ywR4C8g0RpwwR4D8g0RpBtE8zhBtC8JeAgWG?AauytCqOBAA;v115@9gA8RpywR4C8i0wwR4D8Rpg0BtE8zhBtC8JeAgWGAa?ujPCUHBAA
JLZTISJ,11,TILJJZ;TIJJSZ;ILJJSZ;TLJJSZ;TILJSZ;TILJJS,S;L;T;I;J;Z,v115@9gA8h0ywR4C8h0glwwR4D8h0glBtE8h0hlBtC8JeAg?WGA6intCqOBAA;v115@9gA8ilh0R4C8glAth0R4D8Bth0wwE8Ath0ywC8JeAg?WGA03ntCqCBAA;v115@9gA8ilzhC8glAth0R4D8Btg0R4E8Atk0C8JeAgWGAz?3PPCpCBAA;v115@9gA8Q4i0ywC8R4ilwwD8g0Q4glBtE8j0BtC8JeAgWG?A6/rtC0/AAA;v115@9gA8h0Ath0R4C8g0Btg0R4D8g0Atglg0wwE8ilywC8?JeAgWGA0yjPC6/AAA;v115@9gA8h0ywR4C8i0wwR4D8ilBtE8gli0BtC8JeAgWGA6?yjPC0/AAA;v115@9gA8h0AtzhC8g0Btg0R4D8g0AtglR4E8ili0C8JeAg?WGAMtzPCK+AAA;v115@9gA8g0AtilR4C8BtglywD8Ati0wwE8j0R4C8JeAgWG?AqujWCz/AAA;v115@9gA8k0R4C8ywg0R4D8ilBtE8glwwh0BtC8JeAgWGA6?i/wCz/AAA;v115@9gA8h0R4Ath0C8g0R4Btg0D8ywAtglE8g0wwilg0C8?JeAgWGAsuzPCKNBAA;v115@9gA8h0BtwwR4C8i0ywD8ilBtE8gli0R4C8JeAgWGAs?uPFDz/AAA
JIZTLSO,2,TILJSO;TILSZO;TILJSZ;TILJZO;TIJSZO,Z;J;O;S;L,v115@9gA8h0ywR4C8g0RpwwR4D8g0RpBtE8zhBtC8JeAgWG?AauytCqOBAA;v115@9gA8RpywR4C8i0wwR4D8Rpg0BtE8zhBtC8JeAgWGAa?ujPCUHBAA
JIZTLOS,2,TILJSO;TILSZO;TILJSZ;TILJZO;TIJSZO,Z;J;O;S;L,v115@9gA8whRpBtR4C8whRpwwBtD8whg0ywE8whi0R4C8Je?AgWGAqeNFDPNBAA;v115@9gA8RpBtwwR4C8i0ywD8Rpg0BtE8zhR4C8JeAgWGAp?uPFDPNBAA
JITSOLJ,5,TILJSO;TILJJS;ILJJSO;TILJJO,J;O;T;S,v115@9gA8RpilR4C8Rpglg0R4D8g0zhE8l0C8JeAgWGAKen?tCvCBAA;v115@9gA8ilRph0C8glR4Rpg0D8R4i0E8zhh0C8JeAgWGAp?vjPCvCBAA;v115@9gA8ilzhC8glRpg0R4D8g0RpR4E8l0C8JeAgWGAK9a?PCpCBAA;v115@9gA8hli0R4C8h0RpR4D8g0glRpg0E8g0glzhC8JeAg?WGAJnntCs/AAA;v115@9gA8RpQ4hlh0C8RpR4glg0D8g0zhE8i0Q4glg0C8Je?AgWGAKentCMHBAA
